AmbServ;Ambulance Services;0;0;0;0
AntiqueA;Antique Auto;0;0;0;0
AuBodyManu;Auto Body Manufacturers and Installers;0;0;0;0
DrvAway;Drive Away Contractors;0;0;0;0
DrvTrain;Driver Training Programs;0;0;0;0
FireDept;Fire Departments;0;0;0;0
FunerDir;Funeral Directors;0;0;0;0
GolfMb;Golfmobiles;0;0;0;0
LawEnf;Law Enforcement Agencies;0;0;0;0
Lease;Leasing or Rental Concerns;0;0;0;0
MobileEq;Mobile or Farm Equipment;0;0;0;0
MobileHm;Mobile Homes;0;0;0;0
Mcycle;Motorcycles;0;0;0;0
OtherBus;Other Buses;0;0;0;0
PPT;Private Passenger;0;0;0;0
RegPlt;Registration Plates;0;0;0;0
Repo;Repossesed Auto;0;0;0;0
SandCBus;School and Church Buses;0;0;0;0
SnowMb;Snowmobiles;0;0;0;0
Taxi;Taxis and Limousines;0;0;0;0
Truck;Truck;0;0;0;0
Van;Van Pools;0;0;0;0
SUV;SUV;0;0;0;0
Private Passenger;Private Passenger;0;0;0;0
